0 (-0.850586,0.0342642) 0
1 (-0.850586,-0.0342642) 0
2 (-0.850177,-0.0531066) 1.24915e-06
3 (-0.850177,0.0531066) 3.79191e-07
4 (-0.850144,-0.0252482) 2.78718e-15
5 (-0.850144,0.0252482) 2.42345e-15
6 (-0.85012,0.0442111) 0
7 (-0.85012,-0.0442111) 0
8 (-0.849194,-0.0479748) 0
9 (-0.849194,0.0479748) 0
10 (-0.848965,-0.102624) 1.67359e-06
11 (-0.848965,0.102624) 5.25109e-07
12 (-0.847819,0.084689) 1.99635e-08
13 (-0.847819,-0.084689) 5.86624e-09
14 (-0.847448,-0.0943792) 0.000159895
15 (-0.847448,0.0943792) 4.59835e-05
16 (-0.846933,0.10945) 1.46694e-10
17 (-0.846933,-0.10945) 6.46481e-10
18 (-0.846786,0.103247) 3.78944e-15
19 (-0.84678,-0.103248) 3.40129e-15
20 (-0.846319,-0.113897) 1.93216e-08
21 (-0.846319,0.113897) 1.3764e-09
22 (-0.845988,0.117617) 1.55387e-15
23 (-0.845988,-0.117617) 1.53519e-15
24 (-0.844032,-0.147724) 2.21519e-15
25 (-0.844032,0.147724) 6.17317e-15
26 (-0.841174,-0.172815) 3.97272e-15
27 (-0.841174,0.172815) 8.48257e-15
28 (-0.839162,0.1833) 0.0100426
29 (-0.836922,-0.203735) 1.43942e-11
30 (-0.836921,0.203735) 1.71852e-05
31 (-0.833809,-0.227024) 3.78164e-15
32 (-0.833809,0.227024) 6.60033e-10
33 (-0.831957,0.236833) 9.54796e-09
34 (-0.830136,0.252317) 6.93675e-15
35 (-0.830136,-0.252317) 2.89579e-15
36 (-0.827488,0.266106) 2.49279e-10
37 (-0.827488,-0.266106) 2.45776e-15
38 (-0.826147,-0.272887) 1.9947e-07
39 (-0.826147,0.272887) 4.38691e-15
40 (-0.822167,0.292252) 4.66876e-07
41 (-0.817701,-0.315691) 4.60396e-10
42 (-0.817701,0.315691) 1.89855e-05
43 (-0.812745,-0.342038) 2.07638e-15
44 (-0.812745,0.342038) 1.10322e-14
45 (-0.809614,0.352333) 0.00226215
46 (-0.807453,0.362904) 1.97088e-07
47 (-0.807453,-0.362904) 2.14758e-08
48 (-0.798227,-0.401393) 3.23346e-11
49 (-0.798227,0.401393) 4.00107e-11
