0 (-0.850604,-0.0342737) 0
1 (-0.850604,0.0342737) 0
2 (-0.850194,-0.0531402) 4.30597e-10
3 (-0.850194,0.0531402) 8.42566e-09
4 (-0.850145,-0.0441974) 0.0471831
5 (-0.850145,0.0441974) 0.00134698
6 (-0.850091,-0.0252603) 0
7 (-0.850091,0.0252603) 0
8 (-0.849225,-0.0479677) 0
9 (-0.849225,0.0479677) 0
10 (-0.848981,-0.102661) 0.0083737
11 (-0.848981,0.102661) 0
12 (-0.848464,0.0639931) 0
13 (-0.848256,-0.0655108) 1.53925e-08
14 (-0.847854,0.0771619) 4.5539e-07
15 (-0.847824,-0.0846729) 0.0290161
16 (-0.847824,0.0846729) 0.00548755
17 (-0.847473,-0.0943804) 5.09442e-10
18 (-0.847473,0.0943804) 8.79628e-10
19 (-0.846962,0.109434) 0.000140941
20 (-0.846962,-0.109434) 1.88008e-05
21 (-0.846877,0.0986068) 2.32761e-11
22 (-0.84676,0.103254) 1.12048e-11
23 (-0.84676,-0.103254) 2.8206e-15
24 (-0.846738,-0.0985223) 4.07769e-15
25 (-0.84632,0.11391) 6.09368e-11
26 (-0.84632,-0.11391) 2.232e-10
27 (-0.846002,-0.117632) 1.98072e-15
28 (-0.846002,0.117632) 7.03911e-15
29 (-0.84403,-0.147692) 7.92397e-16
30 (-0.84403,0.147692) 2.32584e-15
31 (-0.841193,-0.17281) 0.0330889
32 (-0.841193,0.17281) 5.77473e-15
33 (-0.838994,0.182951) 9.22933e-16
34 (-0.836904,-0.203726) 4.93708e-10
35 (-0.836904,0.203726) 9.63128e-06
36 (-0.833829,-0.227038) 4.64296e-15
37 (-0.833829,0.227038) 6.49007e-09
38 (-0.831964,0.236831) 1.54077e-08
39 (-0.830145,-0.252315) 1.86956e-15
40 (-0.830145,0.252315) 5.33163e-13
41 (-0.827505,-0.266126) 1.77992e-15
42 (-0.827505,0.266126) 9.43192e-06
43 (-0.826145,0.272891) 2.45194e-15
44 (-0.822167,0.292231) 1.28713e-07
45 (-0.817713,0.315725) 2.47591e-10
46 (-0.812794,-0.342029) 6.29288e-15
47 (-0.812794,0.342029) 9.241e-13
48 (-0.807515,0.362999) 0.00161189
49 (-0.798267,-0.401433) 3.4506e-06
