0 (-0.850604,0.0342737) 3.79171e-05
1 (-0.850194,-0.0531402) 3.23548e-13
2 (-0.850194,0.0531402) 2.57791e-09
3 (-0.848981,-0.102661) 7.71983e-07
4 (-0.848981,0.102661) 1.06866e-15
5 (-0.846962,0.109434) 3.05978e-15
6 (-0.84403,0.147692) 3.4216e-15
7 (-0.84403,-0.147692) 4.4846e-15
8 (-0.841193,0.17281) 4.75602e-08
9 (-0.841193,-0.17281) 8.25348e-15
10 (-0.833829,0.227038) 3.62255e-09
11 (-0.830145,-0.252315) 2.89245e-15
12 (-0.830145,0.252315) 4.43981e-15
13 (-0.827505,0.266126) 1.86042e-10
14 (-0.812794,-0.342029) 2.82301e-15
15 (-0.812794,0.342029) 1.19277e-14
16 (-0.807515,-0.363003) 5.13712e-06
17 (-0.807512,0.362996) 0.00387532
18 (-0.798267,0.401433) 4.27625e-15
19 (-0.798267,-0.401433) 5.92906e-15
20 (-0.785044,-0.447013) 0.000543969
21 (-0.758852,0.528654) 7.10603e-15
22 (-0.758852,-0.528654) 1.37968e-14
23 (-0.744123,-0.564361) 0.0486512
