0 (-0.850623,0.0342829) 0.11346
1 (-0.850623,-0.0342829) 0.00175366
2 (-0.850212,0.0531738) 0
3 (-0.850212,-0.0531738) 0
4 (-0.85017,0.0441834) 1.6239e-08
5 (-0.85017,-0.0441834) 2.54987e-11
6 (-0.850036,0.0252817) 0.000177524
7 (-0.850036,-0.0252817) 0.00033874
8 (-0.849328,-0.0241037) 0
9 (-0.849257,-0.0479606) 0
10 (-0.849257,0.0479606) 0
11 (-0.848998,-0.102698) 0
12 (-0.848998,0.102698) 0.064174
13 (-0.848598,-0.0593411) 0.000188036
14 (-0.848431,-0.064077) 0
15 (-0.847887,-0.0772008) 0
16 (-0.84783,-0.0846573) 1.63011e-07
17 (-0.84783,0.0846573) 3.60503e-10
18 (-0.847498,-0.0943796) 2.23578e-05
19 (-0.847498,0.0943796) 1.25944e-09
20 (-0.846992,0.109417) 1.23391e-13
21 (-0.846992,-0.109417) 0.000443197
22 (-0.846918,-0.0985882) 2.53885e-07
23 (-0.846737,-0.103263) 1.32499e-11
24 (-0.846736,0.103268) 3.47735e-14
25 (-0.846323,-0.113921) 4.97192e-15
26 (-0.846323,0.113921) 4.93953e-15
27 (-0.846018,0.117646) 3.70833e-13
28 (-0.846018,-0.117646) 2.04342e-11
29 (-0.845422,0.100125) 0.00198322
30 (-0.845002,-0.124782) 4.25121e-14
31 (-0.844853,0.0657718) 2.88031e-15
32 (-0.844031,-0.147656) 0.00319965
33 (-0.844031,0.147656) 0.000219801
34 (-0.842745,0.151082) 7.73933e-16
35 (-0.842727,-0.151092) 4.77779e-15
36 (-0.84121,0.172804) 2.17033e-15
37 (-0.84121,-0.172804) 5.57054e-15
38 (-0.83925,0.183284) 2.12181e-05
39 (-0.836882,0.203714) 2.72661e-05
40 (-0.836882,-0.203714) 5.18083e-11
41 (-0.833846,-0.227049) 8.50338e-15
42 (-0.833846,0.227049) 4.3757e-10
43 (-0.831971,0.236828) 1.15704e-06
44 (-0.830157,-0.25231) 8.52158e-15
45 (-0.830157,0.25231) 7.75247e-15
46 (-0.82752,0.266143) 4.96608e-09
47 (-0.82752,-0.266143) 3.49083e-14
48 (-0.826142,-0.272894) 7.86887e-10
49 (-0.826142,0.272894) 2.83122e-05
