0 (-0.850626,-0.0342916) 0.0529855
1 (-0.850626,0.0342916) 9.92116e-14
2 (-0.850214,-0.0532072) 5.81085e-15
3 (-0.850214,0.0532072) 1.99981e-07
4 (-0.850179,-0.0441687) 2.89303e-08
5 (-0.850179,0.0441687) 0.039869
6 (-0.849967,-0.0253138) 0
7 (-0.849967,0.0253138) 0
8 (-0.849274,0.0479531) 0
9 (-0.849274,-0.0479531) 0
10 (-0.848998,0.102733) 0
11 (-0.848998,-0.102733) 0
12 (-0.848775,0.06115) 1.94551e-08
13 (-0.847823,-0.0846417) 3.12577e-06
14 (-0.847823,0.0846417) 0.0115774
15 (-0.847505,0.0943763) 2.04884e-10
16 (-0.847505,-0.0943763) 6.90783e-11
17 (-0.847275,0.0235332) 0.00232371
18 (-0.847004,-0.109399) 0.00010917
19 (-0.847004,0.109399) 4.32124e-11
20 (-0.846837,0.0985023) 2.11181e-12
21 (-0.846699,0.103273) 5.06502e-15
22 (-0.846662,-0.103261) 4.73598e-15
23 (-0.846311,0.113928) 9.65738e-11
24 (-0.846311,-0.113928) 2.72175e-12
25 (-0.846019,0.117657) 0.00633592
26 (-0.846019,-0.117657) 3.61589e-15
27 (-0.845014,0.124766) 5.99786e-15
28 (-0.84402,-0.147615) 0.00149898
29 (-0.84402,0.147615) 6.80298e-05
30 (-0.842751,0.151104) 1.04531e-15
31 (-0.842745,-0.151111) 8.77427e-15
32 (-0.841209,0.172795) 9.50302e-15
33 (-0.841209,-0.172795) 9.43547e-16
34 (-0.839251,0.183283) 3.64278e-05
35 (-0.83925,-0.183282) 2.23664e-05
36 (-0.836837,-0.203697) 3.56792e-10
37 (-0.836837,0.203697) 1.05073e-09
38 (-0.833843,0.227055) 1.46972e-14
39 (-0.833843,-0.227055) 5.30459e-15
40 (-0.83196,0.236822) 1.00853e-06
41 (-0.83196,-0.236822) 5.1412e-07
42 (-0.830155,-0.252298) 5.01688e-15
43 (-0.830155,0.252298) 2.8789e-15
44 (-0.827517,-0.266154) 1.53687e-14
45 (-0.827517,0.266154) 1.16082e-13
46 (-0.82612,0.272894) 9.81371e-09
47 (-0.82612,-0.272894) 1.57207e-09
48 (-0.812857,0.34201) 0.00748912
49 (-0.812814,-0.342003) 0.00278696
