0 (-0.850632,-0.0342945) 3.42784e-09
1 (-0.850632,0.0342945) 2.29908e-08
2 (-0.850218,0.0532184) 1.3394e-14
3 (-0.850218,-0.0532184) 3.79753e-14
4 (-0.849002,-0.102745) 1.37824e-08
5 (-0.849002,0.102745) 1.65793e-08
6 (-0.847012,0.109393) 1.69772e-15
7 (-0.847012,-0.109393) 2.11545e-15
8 (-0.844021,-0.147601) 1.05354e-15
9 (-0.844021,0.147601) 1.25387e-15
10 (-0.841212,0.172792) 9.72294e-14
11 (-0.841212,-0.172792) 9.43938e-15
12 (-0.833844,-0.227057) 8.34591e-07
13 (-0.833844,0.227057) 2.20053e-05
14 (-0.830159,0.252294) 2.72806e-14
15 (-0.830159,-0.252294) 7.12206e-15
16 (-0.82752,0.266157) 8.12114e-08
17 (-0.82752,-0.26616) 0.00196768
18 (-0.812867,-0.342004) 9.01056e-15
19 (-0.812867,0.342004) 4.97485e-15
20 (-0.807629,0.36319) 5.55758e-08
21 (-0.798341,-0.401519) 1.23245e-14
22 (-0.798341,0.401519) 2.58195e-10
23 (-0.758738,0.528754) 3.5172e-09
